eventID,occurrenceID,basisOfRecord,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,scientificName,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,recordedBy,type,ownerInstitutinCode,plot,transect
n3birds,Na,HumanObservation,7,7,individuals,present,Anthus pratensis,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Anthus pratensis,Na,species,MH,Event,Na,north,northhigh
n1birds,Na,HumanObservation,6,6,individuals,present,Troglodytes troglodytes,Animalia,Chordata,Aves,Passeriformes,Troglogdytidae,Troglodytes,Troglodytes troglodytes,Na,species,MH,Event,Na,north,northlow
n1birds,Na,HumanObservation,2,2,individuals,present,Parus major,Animalia,Chordata,Aves,Passeriformes,Paridae,Parus,Parus major,Na,species,MH,Event,Na,north,northlow
n1birds,Na,HumanObservation,1,1,individuals,present,Corvus corone,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus corone,Na,species,MH,Event,Na,north,northlow
n1birds,Na,HumanObservation,1,1,individuals,present,Prunella modularis,Animalia,Chordata,Aves,Passeriformes,Prunellidae,Prunella,Prunella modularis,Na,species,MH,Event,Na,north,northlow
n2birds,Na,HumanObservation,7,7,individuals,present,Anthus pratensis,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Anthus pratensis,Na,species,MH,Event,Na,north,northmid
n2birds,Na,HumanObservation,2,2,individuals,present,Corvus corax,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus corax,Na,species,MH,Event,Na,north,northmid
n2birds,Na,HumanObservation,1,1,individuals,present,Oenanthe oenanthe,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Oenanthe,Oenanthe oenanthe,Na,species,MH,Event,Na,north,northmid
n2birds,Na,HumanObservation,3,3,individuals,present,Troglodytes troglodytes,Animalia,Chordata,Aves,Passeriformes,Troglogdytidae,Troglodytes,Troglodytes troglodytes,Na,species,MH,Event,Na,north,northmid
n3birds,Na,HumanObservation,1,1,individuals,present,Falco tinnunculus,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco tinnunculus,Na,species,MH,Event,Na,north,northhigh
n3birds,Na,HumanObservation,2,2,individuals,present,Corvus corax,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus corax,Na,species,MH,Event,Na,north,northhigh
n3birds,Na,HumanObservation,3,3,individuals,present,Troglodytes troglodytes,Animalia,Chordata,Aves,Passeriformes,Troglogdytidae,Troglodytes,Troglodytes troglodytes,Na,species,MH,Event,Na,north,northhigh
n3birds,Na,HumanObservation,1,1,individuals,present,Circus cyaneus,Animalia,Chordata,Aves,Accipitriformes,Accipitridrae,Circus,Circus cyaneus,Na,species,MH,Event,Na,north,northhigh
s1birds,Na,HumanObservation,2,2,individuals,present,Troglodytes troglodytes,Animalia,Chordata,Aves,Passeriformes,Troglogdytidae,Troglodytes,Troglodytes troglodytes,Na,species,AJ,Event,Na,south,southlow
s1birds,Na,HumanObservation,2,2,individuals,present,Prunella modularis,Animalia,Chordata,Aves,Passeriformes,Prunellidae,Prunella,Prunella modularis,Na,species,AJ,Event,Na,south,southlow
s1birds,Na,HumanObservation,5,5,individuals,present,Parus major,Animalia,Chordata,Aves,Passeriformes,Paridae,Parus,Parus major,Na,species,AJ,Event,Na,south,southlow
s1birds,Na,HumanObservation,11,11,individuals,present,Periparus ater,Animalia,Chordata,Aves,Passeriformes,Paridae,Periparus,Periparus ater,Na,species,AJ,Event,Na,south,southlow
s1birds,Na,HumanObservation,2,2,individuals,present,Anthus pratensis,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Anthus pratensis,Na,species,AJ,Event,Na,south,southlow
s1birds,Na,HumanObservation,2,2,individuals,present,Fringilla coelebs,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Fringilla,Fringilla coelebs,Na,species,AJ,Event,Na,south,southlow
s1birds,Na,HumanObservation,1,1,individuals,present,Carduelis spinus,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Carduelis,Carduelis spinus,Na,species,AJ,Event,Na,south,southlow
s1birds,Na,HumanObservation,1,1,individuals,present,Cyanistes caeruleus,Animalia,Chordata,Aves,Passeriformes,Paridae,Cyanistes,Cyanistes caeruleus,Na,species,AJ,Event,Na,south,southlow
s2birds,Na,HumanObservation,5,5,individuals,present,Troglodytes troglodytes,Animalia,Chordata,Aves,Passeriformes,Troglogdytidae,Troglodytes,Troglodytes troglodytes,Na,species,AJ,Event,Na,south,southmid
s2birds,Na,HumanObservation,3,3,individuals,present,Anthus pratensis,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Anthus pratensis,Na,species,AJ,Event,Na,south,southmid
s2birds,Na,HumanObservation,2,2,individuals,present,Fringilla coelebs,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Fringilla,Fringilla coelebs,Na,species,AJ,Event,Na,south,southmid
s2birds,Na,HumanObservation,1,1,individuals,present,Erithacus rubecula,Animalia,Chordata,Aves,Passeriformes,Turdidae,Erithacus,Erithacus rubecula,Na,species,AJ,Event,Na,south,southmid
s2birds,Na,HumanObservation,1,1,individuals,present,Parus major,Animalia,Chordata,Aves,Passeriformes,Paridae,Parus,Parus major,Na,species,AJ,Event,Na,south,southmid
s3birds,Na,HumanObservation,2,2,individuals,present,Troglodytes troglodytes,Animalia,Chordata,Aves,Passeriformes,Troglogdytidae,Troglodytes,Troglodytes troglodytes,Na,species,AJ,Event,Na,south,southhigh
s3birds,Na,HumanObservation,2,2,individuals,present,Parus major,Animalia,Chordata,Aves,Passeriformes,Paridae,Parus,Parus major,Na,species,AJ,Event,Na,south,southhigh
s3birds,Na,HumanObservation,1,1,individuals,present,Regulus regulus,Animalia,Chordata,Aves,Passeriformes,Troglogdytidae,Regulus,Regulus regulus,Na,species,AJ,Event,Na,south,southhigh
s3birds,Na,HumanObservation,1,1,individuals,present,Anthus pratensis,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Anthus pratensis,Na,species,AJ,Event,Na,south,southhigh
s3birds,Na,HumanObservation,1,1,individuals,present,Fringilla coelebs,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Fringilla,Fringilla coelebs,Na,species,AJ,Event,Na,south,southhigh
s3birds,Na,HumanObservation,1,1,individuals,present,Erithacus rubecula,Animalia,Chordata,Aves,Passeriformes,Turdidae,Erithacus,Erithacus rubecula,Na,species,AJ,Event,Na,south,southhigh
pointN,Na,HumanObservation,10,10,individuals,present,Corvus cornix,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus cornix,Na,species,MB,event,Na,north,northpoint
pointN,Na,HumanObservation,2,2,individuals,present,Troglodytes troglodytes,Animalia,Chordata,Aves,Passeriformes,Troglogdytidae,Troglodytes,Troglodytes troglodytes,Na,species,MB,event,Na,north,northpoint
pointN,Na,HumanObservation,2,2,individuals,present,Corvus corax,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus corax,Na,species,MB,event,Na,north,northpoint
pointN,Na,HumanObservation,26,26,individuals,present,Coloeus monedula,Animalia,Chordata,Aves,Passeriformes,Corvidae,Coloeus,Coloeus monedula,Na,species,MB,event,Na,north,northpoint
pointN,Na,HumanObservation,4,4,individuals,present,Anthus pratensis,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,Anthus pratensis,Na,species,MB,event,Na,north,northpoint
pointS,Na,HumanObservation,6,6,individuals,present,Troglodytes troglodytes,Animalia,Chordata,Aves,Passeriformes,Troglogdytidae,Troglodytes,Troglodytes troglodytes,Na,species,AKe,event,Na,south,southpoint
pointS,Na,HumanObservation,4,4,individuals,present,Erithacus rubecula,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Erithacus,Erithacus rubecula,Na,species,AKe,event ,Na,south,southpoint
pointS,Na,HumanObservation,2,2,individuals,present,Prunella modularis,Animalia,Chordata,Aves,Passeriformes,Prunellidae,Prunella,Prunella modularis,Na,species,AKe,event,Na,south,southpoint
pointS,Na,HumanObservation,2,2,individuals,present,Coloeus monedula,Animalia,Chordata,Aves,Passeriformes,Corvidae,Coloeus,Coloeus monedula,Na,species,AKe,event,Na,south,southpoint
