eventID,occurrenceID,basisOfRecord,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,scientificName,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,recordedBy,OwnerInstitutionCode,plot,transect 
NHS1,Na,HumanObservation,5,5,individuals,present,Na,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,Na,Na,Na,Family,HW&HH&KDH,Na,north,NorthHigh
NHS1,Na,HumanObservation,3,3,individuals,present,Na,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Na,Na,Na,Family,HW&HH&KDH,Na,north,NorthHigh
NHS1,Na,HumanObservation,1,1,individuals,present,Scathophaga stercoraria,Animalia,Arthropoda,Insecta,Diptera,Scathophagidae,Scathophaga,stercoraria,Na,Species,HW&HH&KDH,Na,north,NorthHigh
NHS2,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,Na,Na,Na,Family,HW&HH&KDH,Na,north,NorthHigh
NHS3,Na,HumanObservation,6,6,individuals,present,Conomelus sp.,Animalia,Arthropoda,Insecta,Hemiptera,Delphacidae,Conomelus,Na,Na,Genus,HW&HH&KDH,Na,north,NorthHigh
NHS3,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Insecta,Coleoptera,Apionidae,Perapion,violaceum,Na,Species,HW&HH&KDH,Na,north,NorthHigh
NHS3,Na,HumanObservation,3,3,individuals,present,Na,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,Na,Na,Na,Family,HW&HH&KDH,Na,north,NorthHigh
NHS4,Na,HumanObservation,9,9,individuals,present,Conomelus sp.,Animalia,Arthropoda,Insecta,Hemiptera,Delphacidae,Conomelus,Na,Na,Genus,HW&HH&KDH,Na,north,NorthHigh
NHS4,Na,HumanObservation,5,5,individuals,present,Na,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,Na,Na,Na,Family,HW&HH&KDH,Na,north,NorthHigh
NHS4,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Insecta,Coleoptera,Na,Na,Na,larvae,Order,HW&HH&KDH,Na,north,NorthHigh
NHS4,Na,HumanObservation,1,1,individuals,present,Notostira elongata,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Notostira,elongata,Na,Species,HW&HH&KDH,Na,north,NorthHigh
NHS4,Na,HumanObservation,1,1,individuals,present,Entomobrya nivalis,Animalia,Arthropoda,Collembola,Entomobryomorpha,Entomobryidae,Entomobrya,nivalis,Na,Species,HW&HH&KDH,Na,north,NorthHigh
NHS4,Na,HumanObservation,1,1,individuals,present,Empis livida,Animalia,Arthropoda,Insecta,Diptera,Empididae,Empis,livida,Na,Species,HW&HH&KDH,Na,north,NorthHigh
NHS4,Na,HumanObservation,4,4,individuals,present,Araneus quadratus,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araneus,quadratus,Na,Species,HW&HH&KDH,Na,north,NorthHigh
NHS5,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Arachnida,Araneae,Lycosidae,Na,Na,Na,Family,HW&HH&KDH,Na,north,NorthHigh
NHS5,Na,HumanObservation,2,2,individuals,present,Araneus quadratus,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araneus,quadratus,Na,Species,HW&HH&KDH,Na,north,NorthHigh
NHS5,Na,HumanObservation,5,5,individuals,present,Tetragnatha sp.,Animalia,Arthropoda,Arachnida,Araneae,Tetragnathidae,Tetragnatha,Na,Na,Genus,HW&HH&KDH,Na,north,NorthHigh
NHS5,Na,HumanObservation,3,3,individuals,present,Metellina segementata,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Metellina,segmentata,Na,Species,HW&HH&KDH,Na,north,NorthHigh
NHS5,Na,HumanObservation,2,2,individuals,present,Stygnocoris sabulosus,Animalia,Arthropoda,Insecta,Hemiptera,Lygaeidae,Stygnocoris,sabulosus,Na,Species,HW&HH&KDH,Na,north,NorthHigh
NHS5,Na,HumanObservation,8,8,individuals,present,Na,Animalia,Arthropoda,Insecta,Hemiptera,Delphacidae,Conomelus,Na,Na,Genus,HW&HH&KDH,Na,north,NorthHigh
NHS5,Na,HumanObservation,3,3,individuals,present,Na,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,Na,Na,Na,Family,HW&HH&KDH,Na,north,NorthHigh
NLP1,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Insecta,Coleoptera,Caribidae,Na,Na,Na,Family,HW&KD,Na,north,NorthLow
NLP1,Na,HumanObservation,1,1,individuals,present,Arion rufus,Animalia,Mollusca,Gastropoda,Stylommatophora,Arionidae,Arion,rufus,Na,Species,HW&KD,Na,north,NorthLow
NLP2,Na,HumanObservation,1,1,individuals,present,Arion rufus,Animalia,Mollusca,Gastropoda,Stylommatophora,Arionidae,Arion,rufus,Na,Species,HW&KD,Na,north,NorthLow
NLP2,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Collembola,Entomobryomorpha,Isotomidae,Na,Na,Na,Family,HW&KD,Na,north,NorthLow
NLP2,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,Na,Na,Na,Family,HW&KD,Na,north,NorthLow
NLP2,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Insecta,Diptera,Calliphoridae,Na,Na,Na,Family,HW&KD,Na,north,NorthLow
NLP2,Na,HumanObservation,2,2,individuals,present,Na,Animalia,Arthropoda,Insecta,Diptera,Dolichopodidae,Na,Na,Na,Family,HW&KD,Na,north,NorthLow
NLP2,Na,HumanObservation,1,1,individuals,present,Dicyrtoma fusca,Animalia,Arthropoda,Insecta,Symphypleona,Dicyrtomidae,Dicyrtoma,fusca,Na,Species,HW&KD,Na,north,NorthLow
NLP3,Na,HumanObservation,2,2,individuals,present,Na,Animalia,Arthropoda,Collembola,Entomobryomorpha,Isotomidae,Na,Na,Na,Family,HW&KD,Na,north,NorthLow
NLP3,Na,HumanObservation,3,3,individuals,present,Na,Animalia,Arthropoda,Insecta,Hymenoptera,Myrmicinae,Na,Na,Na,Family,HW&KD,Na,north,NorthLow
NLP3,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Diplopoda,Polydesmida,Macrosternodesmidae,Na,Na,Na,Family,HW&KD,Na,north,NorthLow
NLP3,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Diplopoda,Julida,Julidae,Na,Na,Na,Family,HW&KD,Na,north,NorthLow
NLP4,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Insecta,Archaeognatha,Machilidae,Na,Na,Na,Family,HW&KD,Na,north,NorthLow
NLP4,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,Na,Na,Na,Family,HW&KD,Na,north,NorthLow
NLP5,Na,HumanObservation,2,2,individuals,present,Na,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,Na,Na,Na,Family,HW&KD,Na,north,NorthLow
NLP5,Na,HumanObservation,2,2,individuals,present,Na,Animalia,Arthropoda,Insecta,Coleoptera,Caribidae,Na,Na,Na,Family,HW&KD,Na,north,NorthLow
NLP5,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Collembola,Entomobryomorpha,Isotomidae,Na,Na,Na,Family,HW&KD,Na,north,NorthLow
NLP5,Na,HumanObservation,3,3,individuals,present,Myrmica rubra,Animalia,Arthropoda,Insecta,Hymenoptera,Myrmicinae,Mrymica,rubra,Na,Species,HW&KD,Na,north,NorthLow
NLP6,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Collembola,Entomobryomorpha,Isotomidae,Na,Na,Na,Family,HW&KD,Na,north,NorthLow
NLP6,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,Na,Na,Na,Family,HW&KD,Na,north,NorthLow
NLP7,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,Na,Na,Na,Family,HW&KD,Na,north,NorthLow
NLP7,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Insecta,Diptera,Calliphoridae,Na,Na,Na,Family,HW&KD,Na,north,NorthLow
NLP7,Na,HumanObservation,1,1,individuals,present,Stenus sp.,Animalia,Arthropoda,Insecta,Coleoptera,Steninae,Stenus,Na,Na,Genus,HW&KD,Na,north,NorthLow
NLS1,Na,HumanObservation,3,3,individuals,present,Na,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Na,Na,Na,Family,HW&KD,Na,north,NorthLow
NLS1,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,Na,Na,Na,Family,HW&KD,Na,north,NorthLow
NLS1,Na,HumanObservation,1,1,individuals,present,Zygiella atrica,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Zygiella,atrica,Na,Species,HW&KD,Na,north,NorthLow
NLS1,Na,HumanObservation,3,3,individuals,present,Metellina segmentata,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Metellina,segmentata,Na,Species,HW&KD,Na,north,NorthLow
NLS1,Na,HumanObservation,3,3,individuals,present,Na,Animalia,Arthropoda,Insecta,Psocodea,Na,Na,Na,Na,Order,HW&KD,Na,north,NorthLow
NLS1,Na,HumanObservation,1,1,individuals,present,Cepaea hortensis,Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,Na,Na,Na,Species,HW&KD,Na,north,NorthLow
NLS2,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Na,Na,Na,Family,HW&KD,Na,north,NorthLow
NLS2,Na,HumanObservation,1,1,individuals,present,Zygiella x-notata,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Zygiella,x-notata,Na,Species,HW&KD,Na,north,NorthLow
NLS3,Na,HumanObservation,5,5,individuals,present,Na,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Na,Na,Na,Family,HW&KD,Na,north,NorthLow
NLS3,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Insecta,Coleoptera,Caribidae,Na,Na,Na,Family,HW&KD,Na,north,NorthLow
NLS3,Na,HumanObservation,2,2,individuals,present,Na,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,Na,Na,Na,Family,HW&KD,Na,north,NorthLow
NLS4,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Na,Na,Na,Family,HW&KD,Na,north,NorthLow
NLS4,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,Na,Na,Na,Family,HW&KD,Na,north,NorthLow
NLS4,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Insecta,Coleoptera,Caribidae,Na,Na,Na,Family,HW&KD,Na,north,NorthLow
NLS4,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Insecta,Psocodea,Na,Na,Na,Na,Order,HW&KD,Na,north,NorthLow
NLS5,Na,HumanObservation,9,9,individuals,present,Na,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Na,Na,Na,Family,HW&KD,Na,north,NorthLow
NLS5,Na,HumanObservation,2,2,individuals,present,Na,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,Na,Na,Na,Family,HW&KD,Na,north,NorthLow
NLS5,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Insecta,Diptera,Calliphoridae,Na,Na,Na,Family,HW&KD,Na,north,NorthLow
NLS6,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,Na,Na,Na,Family,HW&KD,Na,north,NorthLow
NLS6,Na,HumanObservation,1,1,individuals,present,Metellina segementata,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Metellina,segmentata,Na,Species,HW&KD,Na,north,NorthLow
NMS1,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Na,Na,Na,Family,HW&HH,Na,north,NorthMid
NMS1,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Na,Na,Na,Family,HW&HH,Na,north,NorthMid
NMS1,Na,HumanObservation,1,1,individuals,present,Metellina segementata,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Metellina,segmentata,Na,Species,HW&HH,Na,north,NorthMid
NMS2,Na,HumanObservation,3,3,individuals,present,Na,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Na,Na,Na,Family,HW&HH,Na,north,NorthMid
NMS2,Na,HumanObservation,2,2,individuals,present,Na,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,Na,Na,Na,Family,HW&HH,Na,north,NorthMid
NMS2,Na,HumanObservation,2,2,individuals,present,Na,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,Na,Na,Na,Family,HW&HH,Na,north,NorthMid
NMS2,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Na,Na,Na,Family,HW&HH,Na,north,NorthMid
NMS2,Na,HumanObservation,1,1,individuals,present,Tipula sp.,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Na,Na,Genus,HW&HH,Na,north,NorthMid
NMS3,Na,HumanObservation,6,6,individuals,present,Na,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,Na,Na,Na,Family,HW&HH,Na,north,NorthMid
NMS3,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Na,Na,Na,Family,HW&HH,Na,north,NorthMid
NMS3,Na,HumanObservation,5,5,individuals,present,Na,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,Na,Na,Na,Family,HW&HH,Na,north,NorthMid
NMS3,Na,HumanObservation,3,3,individuals,present,Coenosia sp.,Animalia,Arthropoda,Insecta,Diptera,Muscidae,Coenosia,Na,Na,Genus,HW&HH,Na,north,NorthMid
NMS3,Na,HumanObservation,7,7,individuals,present,Hydrellia sp.,Animalia,Arthropoda,Insecta,Diptera,Ephydridae,Hydrellia,Na,Na,Genus,HW&HH,Na,north,NorthMid
NMS4,Na,HumanObservation,5,5,individuals,present,Na,Animalia,Arthropoda,Insecta,Hemiptera,Cercopidae,Na,Na,Na,Family,HW&HH,Na,north,NorthMid
NMS4,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Na,Na,Na,Family,HW&HH,Na,north,NorthMid
NMS4,Na,HumanObservation,2,2,individuals,present,Coenosia sp.,Animalia,Arthropoda,Insecta,Diptera,Muscidae,Coenosia,Na,Na,Genus,HW&HH,Na,north,NorthMid
NMS4,Na,HumanObservation,4,4,individuals,present,Tipula sp.,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Na,Na,Genus,HW&HH,Na,north,NorthMid
NMS4,Na,HumanObservation,5,5,individuals,present,Na,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,Na,Na,Na,Family,HW&HH,Na,north,NorthMid
NMS4,Na,HumanObservation,2,2,individuals,present,Na,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Na,Na,Na,Family,HW&HH,Na,north,NorthMid
NMS4,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Na,Na,Na,Family,HW&HH,Na,north,NorthMid
NMS4,Na,HumanObservation,3,3,individuals,present,Lonchoptera sp.,Animalia,Arthropoda,Insecta,Diptera,Lonchopteridae,Lonchoptera,Na,Na,Genus,HW&HH,Na,north,NorthMid
NMS4,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Alticini (Tribe),Na,Na,Tribe,HW&HH,Na,north,NorthMid
NMS4,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Na,Na,larvae,Family,HW&HH,Na,north,NorthMid
NMS4,Na,HumanObservation,5,5,individuals,present,Na,Animalia,Arthropoda,Insecta,Diptera,Dolichopodidae,Na,Na,Na,Family,HW&HH,Na,north,NorthMid
NMS5,Na,HumanObservation,1,1,individuals,present,Tipula sp.,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Na,Na,Genus,HW&HH,Na,north,NorthMid
NMS5,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Insecta,Diptera,Dolichopodidae,Na,Na,Na,Family,HW&HH,Na,north,NorthMid
NMS5,Na,HumanObservation,1,1,individuals,present,Na,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Na,Na,Na,Family,HW&HH,Na,north,NorthMid
NMS5,Na,HumanObservation,2,2,individuals,present,Na,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Na,Na,Na,Family,HW&HH,Na,north,NorthMid
